pivot,target,relative_abundance,fitness,relative_fitness
Acinetobacter,Acinetobacter,0.05000000000000001,0.004785947615771925,0.11545137220534792
Acinetobacter,Sediminibacterium,0.05000000000000001,0.012738840872047526,0.3072989462184587
Acinetobacter,Methylophilus,0.05000000000000001,2.4909739679404622e-05,0.0006008974310098918
Acinetobacter,Ramlibacter,0.05000000000000001,0.008703463043983976,0.20995356239485624
Acinetobacter,Bosea,0.05000000000000001,0.0006576171275362821,0.015863692178661147
Acinetobacter,Hyphomicrobium,0.05000000000000001,0.0033677968046555056,0.0812413326725374
Acinetobacter,Methylocystis,0.05000000000000001,0.06071499949458083,1.4646273983435105
Acinetobacter,Brucella,0.05000000000000001,9.465701078173758e-05,0.0022834102378375895
Acinetobacter,Terrimonas,0.05000000000000001,0.0026653421456962947,0.06429602511805843
Acinetobacter,Afipia,0.05000000000000001,0.00025407934472992716,0.006129153796300897
Acinetobacter,Chitinophagaceae,0.05000000000000001,0.00032880856376814104,0.007931846089330574
Acinetobacter,Beijerinckiaceae,0.05000000000000001,0.00010212993268555895,0.0024636794671405566
Acinetobacter,Devosiaceae,0.05000000000000001,0.0012803606195213976,0.03088612795390844
Acinetobacter,Acinetobacter,0.09999999999999999,0,0
Acinetobacter,Sediminibacterium,0.09999999999999999,0,0
Acinetobacter,Methylophilus,0.09999999999999999,0,0
Acinetobacter,Ramlibacter,0.09999999999999999,0,0
Acinetobacter,Bosea,0.09999999999999999,0,0
Acinetobacter,Hyphomicrobium,0.09999999999999999,0,0
Acinetobacter,Methylocystis,0.09999999999999999,0,0
Acinetobacter,Brucella,0.09999999999999999,0,0
Acinetobacter,Terrimonas,0.09999999999999999,0,0
Acinetobacter,Afipia,0.09999999999999999,0,0
Acinetobacter,Chitinophagaceae,0.09999999999999999,0,0
Acinetobacter,Beijerinckiaceae,0.09999999999999999,0,0
Acinetobacter,Devosiaceae,0.09999999999999999,0,0
Acinetobacter,Acinetobacter,0.15000000000000002,0.01695622649599995,0.40849143065832083
Acinetobacter,Sediminibacterium,0.15000000000000002,0.013460625659583102,0.32427912156848915
Acinetobacter,Methylophilus,0.15000000000000002,2.632112956508233e-05,0.000634100746125321
Acinetobacter,Ramlibacter,0.15000000000000002,0.009196602670039767,0.2215548006961872
Acinetobacter,Bosea,0.15000000000000002,0.0006948778205181736,0.016740259697708478
Acinetobacter,Hyphomicrobium,0.15000000000000002,0.0035586167171991314,0.08573042087614341
Acinetobacter,Methylocystis,0.15000000000000002,0.06415512120193169,1.5455571586058579
Acinetobacter,Brucella,0.15000000000000002,0.00010002029234731286,0.00240958283527622
Acinetobacter,Terrimonas,0.15000000000000002,0.002816360863463809,0.06784877983540934
Acinetobacter,Afipia,0.15000000000000002,0.00026847552156383976,0.0064678276104782745
